datetime,ghi,counts,SZA,TOA,cams,lsasaf
2018-09-29 17:15:00,650.111470693995,15.0,26.249295755455776,1219.4379092474917,1070.3524,1065.3
2018-09-04 16:15:00,1021.7907227615964,15.0,29.58455893000665,1166.2073806381186,1030.3336,1011.7
2018-11-20 12:00:00,585.0845019777058,15.0,55.965018625760656,780.8827402115165,469.986,598.8
2018-10-15 18:15:00,984.6817691477884,15.0,35.18256525520331,1121.2874826547047,956.0164,958.4
2018-11-19 13:00:00,491.4994606256742,15.0,42.173216269462365,1033.620920403679,560.39,791.2
2018-07-28 19:00:00,478.95001797914415,15.0,56.60422944572407,726.9273207101072,479.3868,622.3
2018-10-21 19:15:00,406.1416756562387,15.0,48.16338859058338,918.0313799475252,532.6256,723.5
2018-09-10 17:45:00,924.559510967278,15.0,35.56197959808409,1094.38086028019,900.4448,903.0
2018-11-02 15:00:00,1135.5627472132326,15.0,15.812327378938525,1332.2757827009189,1149.0928,1121.5
2018-08-28 14:45:00,926.5012585400934,15.0,39.16678402335996,1036.086396503125,936.622,901.5
2018-10-18 15:15:00,1129.665587918015,15.0,16.712786998596837,1316.095537312773,1103.2592,1118.4
2018-12-17 18:15:00,309.13340524991014,15.0,28.596360445932028,1233.270780060225,655.9368,859.5
2018-06-22 16:15:00,789.1405969075872,15.0,45.56085813731288,921.879540801206,795.1056,783.8
2018-11-27 21:45:00,167.35706580366775,15.0,78.34702177060497,282.4614302359586,17.7236,44.100002
2018-06-22 12:45:00,377.0801869830996,15.0,68.6921619641831,478.4557076828041,376.8628,362.2
2018-10-25 19:30:00,714.8363897878461,15.0,51.26720464543011,862.9561899200057,468.3524,687.4
2018-08-20 13:45:00,689.8669543329738,15.0,51.300033275941615,832.4657322736805,529.1972,663.10004
2018-08-25 13:30:00,681.9561308881697,15.0,52.74842791825484,807.7604838964228,691.2752,666.10004
2018-11-20 12:45:00,794.9658396260337,15.0,45.63771156875976,975.5024214426932,681.5696,776.60004
2018-11-26 18:30:00,478.15174397698667,15.0,34.26274491746754,1155.4014356295943,740.1788,961.3
2018-11-21 12:45:00,578.5257101761956,15.0,45.64755726023849,975.6780168701674,574.9596,772.4
2018-12-06 18:45:00,986.1201006832074,15.0,36.65794689726797,1124.5578957457692,739.76,948.0
2018-12-17 18:45:00,411.5785688601223,15.0,35.459391432760654,1144.0966996315456,774.9132,944.10004
2018-09-01 16:00:00,1019.4893923049262,15.0,30.903037617958876,1148.9050229089603,1008.8252,1004.7
2018-07-03 17:30:00,760.8558072635743,15.0,48.35882489499655,874.5016431181829,710.0092,723.3
2018-11-10 21:30:00,184.8471772743617,15.0,77.20285392761296,307.8158212453771,208.53,208.7
2018-09-13 21:15:00,226.5084501977706,15.0,78.65919607395375,264.9762908097391,16.8704,138.0
2018-08-09 20:30:00,307.7885652642934,15.0,71.98139775819992,410.0406332679395,323.8344,326.0
2018-09-29 11:15:00,278.6695433297375,15.0,73.04021206447631,396.60972463065445,74.7136,260.2
2018-08-22 14:30:00,833.2973750449478,15.0,43.24832766500116,970.6613358476986,859.2412,821.7
2018-10-05 14:45:00,902.9485796476088,15.0,25.901719334441765,1227.2334318086896,807.1092,1003.2
2018-10-16 11:00:00,247.7813736066163,15.0,73.00819473146454,401.1378651076861,80.1148,270.6
2018-10-21 13:45:00,752.3049262855088,15.0,34.20329377321156,1138.3004031486175,728.2,897.2
2018-10-04 13:00:00,726.3574253865515,15.0,47.93065602109706,913.592902274208,747.2908,721.9
2018-09-01 14:30:00,905.3577849694354,15.0,40.08451253090785,1024.4562296791382,893.7056,878.3
2018-12-02 15:00:00,1137.9359942466738,15.0,14.959921400152748,1352.9664741177994,1019.3568,1145.4
2018-10-25 15:00:00,1117.727436174038,15.0,17.40749770727585,1316.0427572217975,928.9496,1091.2001
2018-06-20 12:15:00,275.71377202445166,15.0,74.21115821113601,358.33654246337994,200.0624,259.30002
2018-11-13 21:00:00,386.3070837828119,15.0,70.06093588689384,474.5074999051445,372.674,387.6
2018-09-23 21:15:00,55.27508090614887,15.0,78.00607961115165,281.5850877612248,120.6132,200.3
2018-06-23 15:30:00,757.5404530744337,15.0,46.94866559922333,898.7588204536224,775.3404,751.10004
2018-10-17 12:15:00,636.9723121179431,15.0,55.472413812970046,778.4473841674328,510.5032,630.9
2018-09-19 11:15:00,254.6925566343042,15.0,75.39551280412385,340.89453807123726,33.7104,189.90001
2018-08-14 13:45:00,674.4336569579287,15.0,52.81516073144272,802.6890414341095,479.6188,662.2
2018-06-29 16:15:00,808.3423229054297,15.0,45.39667420391995,924.1780980491296,803.618,790.7
2018-06-13 13:45:00,527.8748651564185,15.0,58.0778534386824,697.096774241098,461.0584,568.9
2018-09-22 19:45:00,616.432937792161,15.0,57.59676841931367,725.7135872787408,606.2984,604.0
2018-10-18 12:00:00,576.7421790722761,15.0,58.76814408905277,712.4958387299826,427.8396,547.9
2018-10-27 19:30:00,564.4804027328299,15.0,51.08601047751833,867.2352195631369,366.0368,689.5
2018-12-04 14:15:00,1130.0251708018698,15.0,25.511152622853714,1264.538638013912,1107.0448,1099.9
2018-11-30 12:45:00,839.1945343401654,15.0,45.93643185200291,973.4077901836038,821.1008,795.10004
2018-10-02 12:00:00,497.61236965120463,15.0,62.00060466472596,639.3917810010671,194.092,435.4
2018-12-09 21:30:00,37.43257820927724,15.0,73.49764127676848,398.4523630166525,24.1304,98.8
2018-11-15 19:15:00,832.4343761236964,15.0,45.77932683939048,971.199239103466,704.9264,801.2
