datetime,ghi,cams,lsasaf,pred_XGB_cams,pred_XGB_lsasaf
2018-01-01 10:30:00,22.523571428571422,15.8,93.0,58.587868895000156,31.197838987773594
2018-01-01 10:45:00,33.95333333333333,39.4276,115.4,71.18872670000235,55.46448353593985
2018-01-01 11:00:00,55.02466666666667,81.3056,168.0,140.89587820783106,114.06964529767481
2018-01-01 11:15:00,124.01,95.1704,200.8,124.95445955033858,145.86778962846358
2018-01-01 11:30:00,123.50133333333332,98.1232,249.2,124.88016406136535,219.8543919666388
2018-01-01 11:45:00,132.38933333333335,142.5712,251.5,166.40772330310057,204.79053580310057
2018-01-01 12:00:00,209.33533333333327,170.028,310.1,179.64684368139166,275.64342571264166
2018-01-01 12:15:00,275.8346666666667,224.7476,333.0,231.07304039513076,275.0536617330214
2018-01-01 12:30:00,356.916,300.9412,396.2,340.1090057206301,331.46966245891133
2018-01-01 12:45:00,470.3713333333333,341.0008,491.7,351.1425303521372,459.62547102596534
2018-01-01 13:00:00,655.1406666666666,367.8476,516.5,378.30724292743207,478.68155628192426
2018-01-01 13:15:00,522.4786666666666,380.9052,543.7,374.4616317205787,487.39653772643805
2018-01-01 13:30:00,406.6193333333333,385.5676,550.8,408.5474342084964,492.08219372998076
2018-01-01 13:45:00,372.1073333333333,377.8516,545.3,423.63613914327004,470.7414247878013
2018-01-01 14:00:00,296.05,337.868,513.0,309.16942337978014,459.25475052821764
2018-01-01 14:15:00,235.9533333333333,294.494,474.2,235.4104851104255,336.90761645808175
2018-01-01 14:30:00,230.69266666666667,288.8816,447.0,230.93538247671734,308.7839542540611
2018-01-01 14:45:00,157.22466666666665,302.7312,400.1,259.22958682869137,262.6910736450976
2018-01-01 15:00:00,248.90066666666664,341.1148,381.5,283.3476293555465,281.9632909766402
2018-01-01 15:15:00,157.75933333333333,426.9964,404.1,448.74324557289674,301.77925631508424
2018-01-01 15:30:00,125.01533333333332,396.72,431.30002,364.4089300686462,317.1903021389587
2018-01-01 15:45:00,102.13933333333333,317.87,418.30002,293.1295645821033,328.11680823444703
2018-01-01 16:00:00,172.422,295.9572,385.7,299.51526330421484,285.76880334327734
2018-01-01 16:15:00,214.75666666666663,266.7892,385.0,301.32735964057974,287.58089967964224
2018-01-01 16:30:00,210.54466666666667,250.2084,349.6,298.5566604216717,284.8102004607342
2018-01-01 16:45:00,152.2976666666667,287.2188,323.2,291.2172655938232,277.4708056328857
2018-01-01 17:00:00,66.69733333333333,339.5844,325.0,279.3469002720399,265.6004403111024
2018-01-01 17:15:00,36.16666666666666,320.4584,376.6,263.00672824751905,297.9939718998628
2018-01-01 17:30:00,80.31866666666666,284.8916,381.7,242.281240754377,277.26848440672075
2018-01-01 17:45:00,196.639,268.7816,378.5,217.27812100302083,252.26536465536458
2018-01-01 18:00:00,223.47333333333333,300.5268,350.7,270.33396475921575,223.11533682952825
2018-01-01 18:15:00,159.182,369.6552,328.2,338.08914462805444,194.8178433585232
2018-01-01 18:30:00,86.76533333333333,237.73,522.2,200.2304282283502,433.87013770100646
2018-01-01 18:45:00,36.837333333333326,147.8456,382.2,113.81813492040783,252.11189712743908
2018-01-01 19:00:00,46.134,85.3724,271.9,33.472662858237754,147.6928166668315
2018-01-01 19:15:00,86.92466666666668,116.4804,185.8,59.51604081031587,55.43846512672212
2018-01-01 19:30:00,27.78066666666667,56.9716,247.6,18.546455483296654,111.00592813954665
2018-01-01 19:45:00,28.39766666666667,58.1964,286.1,52.37926194666295,190.66808030603795
2018-01-01 20:00:00,24.28,45.914,271.0,11.982098026418612,214.9307979775905
2018-01-01 20:15:00,31.351333333333333,41.9436,248.7,53.28942847465589,182.43414283012464
2018-01-01 20:30:00,31.21333333333333,38.0732,226.2,63.46338412500961,195.56216952540024
2018-01-01 20:45:00,36.098,35.0956,136.1,32.32470550876201,61.22369232516826
2018-01-01 21:00:00,38.23,92.2044,145.5,121.02381689870981,85.17509253347544
2018-01-01 21:15:00,35.09466666666666,159.5016,202.2,199.27539339824216,151.00981417460935
2018-01-01 21:30:00,54.288,29.5312,231.7,112.95411199953205,199.7757939758504
2018-01-01 21:45:00,34.44733333333333,19.2204,0.0,50.20384868235968,-48.34856525807001
2018-01-01 22:00:00,17.33966666666667,14.1964,0.0,41.84828225086517,-66.1434322266739
2018-01-02 10:30:00,72.23928571428571,134.658,126.0,113.10271851918071,95.08555047413677
2018-01-02 10:45:00,94.006,178.4708,198.8,171.19802535042896,164.82240355477467
2018-01-02 11:00:00,222.594,228.1912,244.90001,229.76857371112166,209.9452285267955
2018-01-02 11:15:00,312.158,284.826,316.4,284.2073165909041,283.18825454866777
2018-01-02 11:30:00,376.878,349.7036,373.30002,349.7953766289508,324.238724559859
2018-01-02 11:45:00,444.8113333333333,411.2488,441.7,409.8305228178403,402.55260686325045
2018-01-02 12:00:00,512.8553333333333,448.296,504.1,432.90147803522257,473.71400664545206
2018-01-02 12:15:00,571.7706666666667,506.4024,540.5,491.01165028484274,507.42271443279196
2018-01-02 12:30:00,606.5953333333333,550.208,605.2,527.0396701747277,563.9223415309289
2018-01-02 12:45:00,693.8960000000001,571.9896,645.7,576.2023131583563,611.6005141471259
2018-01-02 13:00:00,833.4013333333334,593.8692,675.4,626.6595142910979,612.7808445523284
2018-01-02 13:15:00,491.14933333333335,619.4692,682.0,660.0373312150288,622.0583273087788
2018-01-02 13:30:00,861.4026666666667,668.776,685.4,706.6417019470767,634.6006710632877
2018-01-02 13:45:00,1033.7393333333334,767.5312,717.7,768.6101843150587,668.2898107799025
2018-01-02 14:00:00,427.9713333333333,858.9112,762.60004,865.118839880741,707.0052305667762
2018-01-02 14:15:00,820.7260000000001,922.7416,856.2,904.4609389028515,801.8566469869579
2018-01-02 14:30:00,1128.5693333333334,953.0236,928.8,938.7245859506792,884.6637949350542
2018-01-02 14:45:00,1034.7873333333332,991.162,948.7,974.5360375244966,881.3406105835786
2018-01-02 15:00:00,959.732,1025.5944,983.0,997.2154577174374,937.3547933497616
2018-01-02 15:15:00,1155.558,1079.6036,991.10004,1037.0701318359293,925.5561248040117
2018-01-02 15:30:00,1169.4686666666666,1118.3692,1045.4,1081.5586276393365,1007.1019759517144
2018-01-02 15:45:00,1113.146,1130.3312,1086.7001,1092.6260905759254,1051.044742156736
2018-01-02 16:00:00,1134.446,1136.7664,1116.3,1099.1514893076114,1056.916072895258
2018-01-02 16:15:00,1141.3840000000002,1138.6432,1119.0,1101.1013034784228,1058.8658870660693
2018-01-02 16:30:00,1114.15,1135.9496,1117.4,1098.465633739438,1056.2302173270846
2018-01-02 16:45:00,1107.12,1128.7024,1111.5,1091.257890540585,1049.0224741282316
2018-01-02 17:00:00,1098.7086666666669,1116.9436,1101.0,1079.5151218611331,1037.2797054487796
2018-01-02 17:15:00,1085.0653333333332,1100.7384,1085.9,1063.2978352730627,1025.0976695244665
2018-01-02 17:30:00,1071.832666666667,1080.1712,1066.5,1042.689885765329,1015.4910527765902
2018-01-02 17:45:00,1056.6346666666666,1055.3448,1043.1,1017.7983412600405,990.5995082713015
2018-01-02 18:00:00,1048.6046666666666,1026.24,1014.2,988.7533323349489,961.5544993462099
2018-01-02 18:15:00,1019.5813333333332,992.9996,982.5,955.7079046049139,928.5090716161749
2018-01-02 18:30:00,982.908,955.922,947.10004,918.8378997927017,898.7864338045425
2018-01-02 18:45:00,931.0173333333332,915.1884,908.10004,878.3419018758656,862.9154273046375
2018-01-02 19:00:00,883.8633333333333,870.9992,865.7,834.4412994810849,819.0148249098569
2018-01-02 19:15:00,832.4166666666666,823.58,820.10004,787.3805374338529,771.9540628626248
2018-01-02 19:30:00,783.4133333333334,773.1784,771.60004,737.4276632257641,721.2915004678906
2018-01-02 19:45:00,733.216,720.0596,720.5,684.8753252341702,668.7391624762967
2018-01-02 20:00:00,675.4693333333333,664.5056,666.8,630.0424613176727,623.9131392656708
2018-01-02 20:15:00,616.8520000000001,606.8132,611.10004,568.5112302570825,567.1477296619897
2018-01-02 20:30:00,555.9546666666666,547.2996,553.7,510.1947208264049,508.8312202313121
2018-01-02 20:45:00,498.78333333333336,486.3116,494.7,450.749137739141,449.38563714404825
2018-01-02 21:00:00,439.3853333333333,424.0996,429.7,390.64869344952393,379.2783521485596
2018-01-02 21:15:00,377.0066666666667,361.0624,368.6,326.65299633143235,319.06888893244553
2018-01-02 21:30:00,313.8713333333333,297.8744,307.4,265.2349382489614,260.11148224767965
2018-01-02 21:45:00,252.966,235.2336,246.7,194.8637838556894,201.80630971933687
2018-01-02 22:00:00,194.0186666666667,174.0736,187.2,131.61795845780122,134.20351150784242
2018-01-03 10:30:00,59.1,164.554,159.90001,124.8827961583051,125.82753168534367
2018-01-03 10:45:00,53.30533333333334,190.8204,218.8,176.35941892558594,182.032623347583
