datetime,ghi,counts,SZA,TOA,cams,lsasaf,era,merra
2017-12-21 11:00:00,3.293470007593015,3.0,62.286824270887465,653.5050070090164,32.3398,180.575,271.28888,360.875
2017-12-22 10:00:00,202.17919514047077,15.0,74.70153454998946,370.8042977898577,157.2096,198.0750025,212.05333,293.625
2017-12-22 11:00:00,425.4460895975703,15.0,62.38125556997058,651.5121101860974,372.2932,421.825,428.72888,509.875
2017-12-22 12:00:00,642.029233105543,15.0,49.762550914488926,907.8115418886943,637.8327999999999,638.425,646.2222,701.5
2017-12-22 13:00:00,828.7319665907366,15.0,37.009904261915864,1122.236210181953,838.5018,827.0,824.08887,853.75
2017-12-22 14:00:00,966.2680334092635,15.0,24.368269549608584,1280.1734282752075,975.2767,968.45002,935.68,960.25
2017-12-22 15:00:00,1046.4312832194382,15.0,12.724433976856279,1370.8600357589958,1054.0129,1059.05005,934.11554,1018.5
2017-12-22 16:00:00,1087.8075170842826,15.0,8.988701255477974,1388.1158902000018,1068.5927,1078.500025,936.96,1000.5
2017-12-22 17:00:00,867.6689445709948,15.0,18.753418575847146,1330.7650336347199,835.7246,1032.55001,837.6889,917.5
2017-12-22 18:00:00,159.95444191343964,13.0,31.152098712996104,1202.7158321613015,155.8118,427.225,731.9289,780.5
2017-12-24 10:00:00,265.0949126803341,15.0,74.8950574204454,366.2788991425435,155.46280000000002,199.65000750000002,217.49333,323.125
2017-12-24 11:00:00,456.95330296127565,15.0,62.58012308509895,647.2838639742488,360.7314,428.25001,435.94666,550.75
2017-12-24 12:00:00,585.2619589977221,15.0,49.96441753486908,904.1626320924903,626.6371,665.5,656.9067,760.75
2017-12-24 13:00:00,854.0375854214124,15.0,37.212337397858434,1119.409339962245,816.4635,856.82503,824.30225,934.0
2017-12-24 14:00:00,1002.5436598329537,15.0,24.56624122246703,1278.355280154193,931.3742,1000.775,992.85333,1055.5
2017-12-24 15:00:00,1096.6780561883068,15.0,12.889666607051195,1370.1685495148388,1007.6839,1083.95005,1025.1378,1116.0
2017-12-24 16:00:00,1101.8602885345483,15.0,8.918855230452502,1388.5922254658553,1027.4303,1105.050025,1074.9512,1109.0
2017-12-24 17:00:00,1046.550873196659,15.0,18.574486800098402,1332.3707649377457,968.5129000000001,1059.450025,1038.5422,1035.0
2017-12-24 18:00:00,935.9794988610478,15.0,30.959447698209438,1205.3355675551434,884.8537,947.82502,918.88,899.5
2017-12-24 19:00:00,772.6936218678816,15.0,43.7029254019552,1016.1438720840836,746.1979,783.925,728.7822,717.0
2017-12-24 20:00:00,567.1583143507974,15.0,56.40740750845045,777.6887799168595,554.5966,578.62501,517.45776,502.25
2017-12-24 21:00:00,340.6017463933182,15.0,68.89066434361088,506.22061151899527,317.1902,359.1000133333334,306.20444,277.25
2017-12-25 10:00:00,210.5656795747912,15.0,74.9972993187191,363.87911140708377,179.8525,208.875,214.50667,307.0
2017-12-25 11:00:00,433.8287775246773,15.0,62.684393582513906,645.0518053021732,379.1299,437.275,438.4,526.75
2017-12-25 12:00:00,658.5003796507214,15.0,50.06976923149263,902.2377035404243,619.5244,667.5250100000001,656.01776,733.25
2017-12-25 13:00:00,844.8234624145787,15.0,37.31789488711587,1117.910012176693,795.2431,858.05,843.98224,901.75
2017-12-25 14:00:00,988.0979498861047,15.0,24.670231002833223,1277.3710197927596,915.5633,1001.925025,981.42224,1020.0
2017-12-25 15:00:00,1070.5960516324983,15.0,12.980525817248711,1369.7537222413637,998.5014,1087.15,991.68,1080.0
2017-12-25 16:00:00,1088.382687927107,15.0,8.896511099803984,1388.7623910202674,1017.1263,1108.275,1067.0934,1073.5
2017-12-25 17:00:00,1038.1548974943053,15.0,18.491257397129996,1333.1016167654986,969.854,1063.200025,940.19556,1004.0
2017-12-25 18:00:00,917.9138192862567,15.0,30.86781092574506,1206.5645892587415,894.7975,956.00002,878.4178,872.75
2017-12-25 19:00:00,762.3633257403189,15.0,43.61032514047029,1017.7745978122563,773.4914,794.45001,646.04443,698.0
2017-12-25 20:00:00,559.654517843584,15.0,56.31630464975537,779.5973683529083,568.2117000000001,592.3249999999999,421.99112,491.25
2017-12-25 21:00:00,335.48025816249054,15.0,68.80270374404105,508.2642854618707,343.2394,376.60000666666673,182.52444,272.125
2017-12-26 10:00:00,215.542900531511,15.0,75.10309011485202,361.39031871461935,164.1881,221.175005,215.96445,310.0
2017-12-26 11:00:00,442.10136674259684,15.0,62.791778014227745,642.74333229198,391.79830000000004,453.050005,441.49335,528.75
2017-12-26 12:00:00,662.7182991647684,15.0,50.1779510385979,900.2476743813966,678.5411,674.00002,660.8,730.0
2017-12-26 13:00:00,855.6302201974185,15.0,37.4262245824381,1116.3548496155202,862.3358,865.3500200000001,849.12,894.5
2017-12-26 14:00:00,993.4510250569477,15.0,24.777419660552095,1276.3375111361383,930.0708999999999,1008.97501,989.5822,1009.25
2017-12-26 15:00:00,1072.2095671981776,15.0,13.076680340343897,1369.2931049444703,1013.7383,1093.900075,1070.6489,1065.0
2017-12-26 16:00:00,1093.7927107061503,15.0,8.88272736451738,1388.8868609388596,1042.3019,1113.425,1078.2933,1056.5
2017-12-26 17:00:00,1040.167046317388,15.0,18.412374306420727,1333.7834970285019,1036.1581999999999,1066.77505,974.43555,961.75
2017-12-26 18:00:00,926.4198936977981,15.0,30.77944592847995,1207.738216401273,893.1634,960.07501,807.62665,818.25
2017-12-26 19:00:00,760.3853454821565,15.0,43.52083007668428,1019.3407966322441,752.9609,798.07502,610.9155,640.5
2017-12-26 20:00:00,556.1864085041761,15.0,56.22846955174085,781.4302105372174,561.645,595.05,410.27554,429.125
2017-12-26 21:00:00,270.89977220956723,15.0,68.71835321634919,510.2196713927359,243.5614,373.40000000000003,233.26222,227.1875
2017-12-27 10:00:00,61.89445709946849,15.0,75.21235012668512,358.81434753566,33.178399999999996,136.125,74.45333,178.4375
2017-12-27 11:00:00,157.76765375854214,15.0,62.9021934496486,640.3601131957772,111.5421,269.6500025,189.63556,330.0
2017-12-27 12:00:00,202.57213363705392,15.0,50.2888776550005,898.1939446747415,176.3259,363.10001,115.30666,470.875
2017-12-27 13:00:00,285.2638572513288,15.0,37.53723820887891,1114.744892447814,274.5668,383.35,201.45778,813.75
2017-12-27 14:00:00,224.67350037965073,15.0,24.887709988771938,1275.2553672916213,268.5059,403.07501,380.96,746.75
2017-12-27 15:00:00,307.59301442672745,15.0,13.17798806079519,1368.7868456016597,280.9583,266.275005,263.78665,621.5
2017-12-27 16:00:00,487.70501138952164,15.0,8.87762163266977,1388.965311699176,477.65049999999997,363.9250025,566.61334,608.5
2017-12-27 17:00:00,506.1560364464693,15.0,18.33798551062428,1334.4156364661164,417.4549,448.475,634.9511,615.75
2017-12-27 18:00:00,574.6146545178436,15.0,30.694465945438722,1208.8552901220135,266.4566,420.1,576.33777,652.25
2017-12-27 19:00:00,656.4654517843585,15.0,43.43453824129231,1020.8410027719347,143.7031,345.175005,646.0089,397.125
2017-12-27 20:00:00,564.7949886104784,15.0,56.143990368560665,783.1856373904868,501.12420000000003,474.325,532.0,224.5625
2017-12-27 21:00:00,339.66211085801064,15.0,68.63769227888311,512.0850143843551,324.188,370.0,291.16446,125.0
2017-12-28 10:00:00,164.81397114654516,15.0,75.32499880443363,356.15305268932883,108.1254,169.6250025,206.54222,279.625
2017-12-28 11:00:00,420.4555808656037,15.0,63.01555698395372,637.9038249291785,348.13,430.02501,398.36444,515.5
2017-12-28 12:00:00,639.3128321943811,15.0,50.40246485926494,896.0779052654797,644.9989,652.475,646.88,710.25
2017-12-28 13:00:00,829.5102505694762,15.0,37.650849938680345,1113.0811567761546,853.7819999999999,845.47501,836.7111,881.5
2017-12-28 14:00:00,982.1184510250569,15.0,25.001009275337406,1274.1251664855795,997.6556,992.90001,979.1289,1001.75
2017-12-28 15:00:00,1068.204252088079,15.0,13.284313487691014,1368.2350512698665,1083.0405,1085.275,932.9422,1057.0
2017-12-28 16:00:00,1095.083523158694,15.0,8.881299303718732,1388.9973780049047,1103.1825000000001,1109.75005,930.3467,1052.0
2017-12-28 17:00:00,1064.5026575550494,15.0,18.268243832250818,1334.997228435068,1056.9998,1067.225,968.64,984.75
2017-12-28 18:00:00,951.2376613515567,15.0,30.61298710442866,1209.914623514075,948.1296,960.675,757.44,856.25
2017-12-28 19:00:00,781.2034927866364,15.0,43.351548971714585,1022.2737360585123,785.0708,799.85001,758.82666,683.5
2017-12-28 20:00:00,563.5307517084283,15.0,56.06295541414402,784.8619824572485,581.1436,596.55002,565.31555,477.25
2017-12-28 21:00:00,335.5941533788914,15.0,68.56079969471385,513.8585813767374,353.9099,369.52500499999996,329.40445,259.625
2017-12-29 10:00:00,205.6283219438117,15.0,75.4409547566361,353.408316963843,209.048,206.25,207.50223,296.375
2017-12-29 11:00:00,432.70501138952164,15.0,63.13178576439217,635.3761528351286,447.21569999999997,436.375,432.49777,514.5
2017-12-29 12:00:00,655.40622627183,15.0,50.51862953054906,893.9009377128593,670.4595,658.15,653.74225,712.0
2017-12-29 13:00:00,849.4267274107822,15.0,37.76697639798843,1111.3646347400252,862.4138,853.65002,846.2222,879.75
2017-12-29 14:00:00,997.798025816249,15.0,25.117229284658922,1272.947452339976,1007.2315,1003.275,992.26666,998.25
