datetime,ghi,argp,SZA,TOA,cams,lsasaf,era,merra
2009-01-01 10:00:00,27.666666666666664,137.4121019946193,79.41194422724463,258.33028307178694,15.0368,64.37500175,27.395555,121.21875
2009-01-01 11:00:00,128.58333333333334,381.97584481156093,66.46497255895912,561.3919479139417,137.4665,264.9000025,123.342224,377.625
2009-01-01 12:00:00,564.0833333333334,627.2344393473754,53.214110957598066,841.8937992784843,390.54499999999996,543.2,242.84445,603.5
2009-01-01 13:00:00,312.5833333333333,842.3196773425259,39.76271381747218,1080.7200995461471,387.6291,572.0,428.26666,793.5
2009-01-01 14:00:00,422.8333333333333,1007.6133692599344,26.187628709145056,1261.5952310328116,519.7969,690.70002,453.97333,859.5
2009-01-01 15:00:00,477.6666666666667,1109.4507113846166,12.57282915100945,1372.192852437949,662.7359,932.225,676.23114,880.75
2009-01-01 16:00:00,507.75,1139.7330578550736,2.0846087000891287,1404.975918634011,725.7193,858.02501,758.75555,851.25
2009-01-01 17:00:00,253.0,1096.0862979898632,15.04574179673223,1357.7103178363136,460.16560000000004,637.35,536.99554,684.25
2009-01-01 18:00:00,296.16666666666663,981.9368851015763,28.663337322553378,1233.6171226291217,343.4588,551.5,520.4978,542.5
2009-01-01 19:00:00,126.16666666666667,806.4056092868061,42.22115778241511,1041.1530791921043,99.8247,331.80002,314.24,435.625
2009-01-01 20:00:00,35.416666666666664,584.1728103567895,55.64228828950662,793.4342940236238,41.298500000000004,119.6,180.88889,323.0
2009-01-01 21:00:00,27.416666666666668,336.16547027888083,68.84667188546038,507.34239295826353,27.505899999999997,0.0,87.69778,136.3125
2009-01-02 10:00:00,16.333333333333336,135.20411740737822,79.53737433537181,255.30067899588175,14.5674,95.7,20.693333,106.96875
2009-01-02 11:00:00,50.83333333333333,379.61871571248366,66.58742512526395,558.6279755747605,43.0031,240.20001333333335,56.604443,287.25
2009-01-02 12:00:00,62.25,625.1310376086876,53.33356623465005,839.5325495508117,102.1855,300.35001,156.7111,537.5
2009-01-02 13:00:00,99.25000000000001,840.6395587059275,39.87939915112947,1078.8712184243252,225.079,395.63334000000003,292.3911,740.75
2009-01-02 14:00:00,273.75,1006.4549117420249,26.302264394428864,1260.3334474374224,402.99,526.7,299.7511,898.75
2009-01-02 15:00:00,173.83333333333334,1108.8603445518836,12.688473268836013,1371.5528855633725,355.1441,471.56666666666666,423.78665,988.25
2009-01-02 16:00:00,165.33333333333331,1139.709589378242,2.0911625960070244,1404.9501118927046,338.8871,461.75,386.09778,997.5
2009-01-02 17:00:00,61.41666666666667,1096.5837496608642,14.957869413239195,1358.2491606426,313.5807,437.6333333333334,304.3911,944.0
2009-01-02 18:00:00,162.25,982.8684972231588,28.575444321088174,1234.6326244637828,196.4448,410.9,229.26222,793.25
2009-01-02 19:00:00,161.41666666666666,807.6492100062587,42.13700491512747,1042.5247660108541,68.0467,277.96667,170.66667,579.0
2009-01-02 20:00:00,53.5,585.5759825350843,55.56354055711355,795.0174183641348,42.2852,160.5,107.92889,394.875
2009-01-02 21:00:00,27.583333333333332,337.5424827349724,68.77487459186312,508.9777982405167,28.5841,48.6,47.093334,206.625
2009-01-03 10:00:00,49.41666666666667,132.9655802194281,79.66491595591023,252.2165817163272,16.724800000000002,104.4,74.16889,115.15625
2009-01-03 11:00:00,207.58333333333331,377.22743113385394,66.71143352834471,555.8212062782045,131.10829999999999,291.6666666666667,172.05333,376.625
2009-01-03 12:00:00,436.25,622.9995315931117,53.454125926182606,837.1380265023836,332.4617,457.6,369.1378,643.75
2009-01-03 13:00:00,691.8333333333334,838.9366493972115,39.99684280074657,1076.9957659886134,508.4146,687.7333466666668,422.8089,825.25
2009-01-03 14:00:00,893.6666666666666,1005.2765189107778,26.41747040011249,1259.048516174563,675.0748,865.1,535.3422,931.0
2009-01-03 15:00:00,958.8333333333333,1108.2498512352904,12.804980919926345,1370.8896829914552,879.4768,1059.7000333333333,573.2978,987.25
2009-01-03 16:00:00,793.3333333333333,1139.6626432046958,2.112715429548514,1404.8974757469853,848.9649,978.45,695.04,953.25
2009-01-03 17:00:00,873.3333333333334,1097.0514378960245,14.872794697799641,1358.7543195653989,591.9436,614.7333600000001,770.8089,865.0
2009-01-03 18:00:00,835.9166666666667,983.7616529809952,28.490004131824254,1235.6047942853004,461.5175,541.20002,492.92444,693.5
2009-01-03 19:00:00,743.5,808.8440938448733,42.055465398070176,1043.841336540315,347.813,559.2333333333333,374.6489,529.75
2009-01-03 20:00:00,299.25,586.9199006207066,55.48771842871534,796.532309071666,50.5018,225.35,226.96889,376.375
2009-01-03 21:00:00,77.08333333333333,338.8519806440474,68.70640663513825,510.53141340384974,28.4847,0.0,117.08444,210.25
2009-01-04 10:00:00,152.74999999999997,130.69870769225486,79.79448345119211,249.08010481621497,106.33340000000001,133.8,100.337776,122.03125
2009-01-04 11:00:00,309.0833333333333,374.8035975475117,66.83691823607975,552.9734347995416,340.7079,403.23333333333335,304.0,364.625
2009-01-04 12:00:00,628.8333333333334,620.8411625747152,53.575719704891235,834.7116021517804,578.3897,592.05002,515.5378,619.0
2009-01-04 13:00:00,834.9166666666666,837.2117493442913,40.11498828839068,1075.0946163622118,706.0879,750.8333466666667,689.86664,831.5
2009-01-04 14:00:00,972.25,1004.0784999226048,26.533213850612537,1257.7407722641087,893.0561,907.05002,839.4489,918.5
2009-01-04 15:00:00,1106.1666666666667,1107.6190391188434,12.922372759335806,1370.203036169801,965.0307,1000.6999999999999,1011.84,962.75
