datetime,ghi,era,merra,SZA,TOA,cams,lsasaf
2013-07-09 14:00:00,627.0765911542611,560.8889,634.25,54.9252417907048,756.4972964557354,630.4392,602.8
2013-08-27 14:00:00,823.501309909077,801.6533,817.0,44.6586838114383,950.0972342393908,830.1826,795.37501
2013-06-13 13:00:00,513.1684388965944,359.9822,202.0625,63.37776274781508,590.7585640939867,346.5409,440.725
2013-04-15 20:00:00,356.3684697179842,294.68445,344.0,69.00907025629456,483.76495794234086,356.654,361.600005
2013-07-01 14:00:00,649.6378486669748,598.29333,641.0,55.335566804780086,748.550513944401,628.071,623.7750100000001
2013-01-22 16:00:00,1128.6584989983055,910.0089,1026.5,4.619481320190066,1398.173831237925,808.4286,1091.700025
2013-02-21 14:00:00,918.4311912467252,826.1511,761.0,33.04462568957281,1164.3985096899903,631.5917999999999,757.55
2013-03-10 20:00:00,540.4646324549237,400.97778,321.25,60.02877317585207,688.2931424738883,41.2583,309.000005
2013-10-03 16:00:00,1110.8106025581744,1049.3511,1095.5,21.201950968782768,1270.4973483077172,1092.2496999999998,1067.95
2013-10-19 15:00:00,1068.1846201263677,1035.4845,1098.0,17.248098114390025,1313.0502846976954,1086.0499,1118.625025
2013-08-01 18:00:00,707.5435352134382,601.20886,626.5,51.740563536497646,818.6976731581046,638.0156,657.8500200000001
2013-07-04 20:00:00,219.64401294498384,228.83556,224.375,75.58035293658872,327.7449794995491,244.7205,254.575
2013-02-28 13:00:00,786.8315611034058,740.8,802.25,47.21172978465236,940.5957715940656,775.9445000000001,751.8500200000001
2013-06-04 19:00:00,449.5392202188318,392.90668,429.875,65.49977190884802,547.8254203867695,424.5584,420.375015
2013-09-19 13:00:00,752.654492217599,724.2844,749.75,48.21448108523743,900.882078160539,627.5848000000001,764.27501
2013-01-15 17:00:00,921.443982123594,774.29333,685.5,13.781400842999927,1363.9930001085506,404.2107,445.700005
2013-01-20 19:00:00,222.58822622900288,307.25333,514.5,40.87934164328158,1061.003283494544,107.3381,365.650005
2013-09-22 18:00:00,905.0470026198182,667.2889,878.75,41.0292991066238,1021.6189508336016,548.6654,838.2750100000001
2013-12-26 19:00:00,923.7016489443672,744.2844,799.0,42.501745456203935,1036.396280278155,765.6613,827.17501
2013-06-11 20:00:00,184.1539528432733,133.22667,194.0625,76.54370832432477,306.9021202776334,19.1616,106.85
2013-09-11 19:00:00,647.9272615194946,604.4267,606.75,54.70385964832108,777.735601693331,367.9753,557.7
2013-09-23 17:00:00,1016.566497149022,826.75555,1008.75,30.55367195350977,1166.8850950211154,420.4588,593.9
2013-02-20 17:00:00,1067.8224687933423,793.49335,924.0,18.20638512863681,1320.1165263071848,612.5152,836.5250100000001
2013-06-18 18:00:00,623.3626136538758,555.55554,586.5,56.75979310154329,722.0752617175795,605.9986,603.75001
2013-10-27 13:00:00,892.6182770842966,654.3822,703.75,38.893875608493936,1074.5439633480642,679.1217,885.0
2013-12-16 19:00:00,386.8831869317306,311.89334,480.125,43.56461258151785,1017.6423572667982,195.4761,451.525005
2013-02-22 16:00:00,1108.9613191554936,777.38666,882.5,14.008609727010796,1347.1873239527365,806.2499,1015.1
2013-06-30 14:00:00,641.3160733549083,600.2489,632.5,55.35953228718083,748.10523744238,625.6939,619.0
2013-10-24 14:00:00,993.8588380335952,464.44446,922.75,26.401509864231656,1234.7220364885989,337.2817,559.77503
2013-05-23 12:00:00,355.32028561154766,207.41333,255.375,71.57133319072024,419.20404649259655,261.9751,290.2750025
2013-09-30 13:00:00,843.6199722607491,749.3333,770.25,44.98444923352327,962.223373064808,816.6561,811.875
2013-02-26 15:00:00,1056.3954384342735,766.43555,958.0,22.08726351543499,1284.2590007648855,561.9132,859.75002
2013-09-14 15:00:00,1015.0254276467869,831.25336,986.0,30.521165249248543,1161.4202021738315,989.3425,963.85001
2013-11-27 21:00:00,304.0599476036369,156.58667,227.6875,72.58932465911145,418.43848145632455,23.1965,131.62500125
2013-11-27 15:00:00,1198.3433502850976,929.74225,1143.5,10.040255670795696,1377.0211275247293,1174.3252,1136.450025
2013-03-10 16:00:00,679.5261211280629,966.1511,794.25,20.01284622827909,1294.5885921267482,490.562,501.475
2013-11-13 20:00:00,536.6281399291108,408.0711,541.5,61.03475574523353,673.8421060329089,365.2453,530.17501
2013-03-14 11:00:00,191.8670057019572,124.48,256.375,75.85747476289481,335.93074093167417,88.7599,219.625
2013-10-07 16:00:00,1122.9157034982263,1056.32,1093.5,19.758122043762512,1285.41423942122,1077.3247,1008.75002
2013-02-23 18:00:00,1001.756819232548,773.06665,680.75,30.45494775749924,1196.3794053378722,510.3824,815.0250100000001
2013-07-18 15:00:00,758.3603020496223,719.8222,744.5,47.78762809308886,885.4623169404691,745.9491,731.90002
2013-03-24 13:00:00,741.5164123901989,554.9511,726.0,50.51961463736493,869.3847573880131,686.3819,711.97501
2013-03-15 21:00:00,246.3954384342734,129.49333,163.25,74.72519430492817,362.0160626623736,22.769,136.4250025
2013-01-07 16:00:00,1212.1667437201418,1181.2977,1200.5,1.9504902954760457,1404.772941276383,1145.0608,1192.475025
2013-01-05 13:00:00,808.0212667591304,797.7244,904.25,40.59716234684147,1067.3884716176317,861.8451,892.8000099999999
2013-07-01 20:00:00,207.8895053166898,224.76445,227.6875,75.81457661779534,322.52166362282986,236.6744,245.275
2013-04-08 11:00:00,295.200268986677,110.32889,206.5625,78.33237852224988,274.1873019093359,26.0495,148.90000375
2013-10-28 20:00:00,439.46601941747576,279.36,499.75,62.87267140870193,629.8324070636266,119.2253,475.725005
