datetime,ghi,SZA,TOA,cams,lsasaf,era,merra
2013-11-29 18:00:00,645.5136060834591,31.778549631066216,1189.5047692173634,449.4372,480.225,688.4089,576.75
2013-07-15 17:00:00,605.321455505279,49.77023292262346,850.7803670891631,698.81,676.42501,668.4978,663.75
2013-12-21 15:00:00,983.03952991453,11.96007373745232,1374.7443860714466,971.0824,970.5,1100.4089,950.5
2013-12-27 16:00:00,991.3108031674208,2.863104616368977,1404.0517426552651,977.7585,1113.325025,1022.61334,852.5
2013-11-17 12:00:00,569.3815987933635,50.767007331956606,881.4393481996002,678.5699,684.1999999999999,684.23114,639.0
2013-07-11 13:00:00,378.9286387631976,64.7635417956608,561.3757071933627,449.8998,426.225,424.99554,456.625
2013-10-05 12:00:00,487.95720211161387,57.19183939767701,739.2065860995347,568.1844,555.75,565.56445,520.5
2013-09-11 12:00:00,321.02658371040724,63.72258830639496,595.9082039038406,433.2345,409.750015,452.69333,416.25
2013-01-06 16:00:00,982.8918322295804,3.3201449271938817,1403.314249332943,516.2017999999999,504.025015,920.7111,575.5
2013-11-05 21:00:00,101.21920563097036,75.09447009008012,356.6725620163048,54.4194,236.100005,156.67555,294.0
2013-02-02 18:00:00,480.8554083885209,27.65692328804104,1239.02939791711,905.5036,968.25002,808.67554,737.5
2013-11-09 15:00:00,883.9005153343389,12.738833743281512,1354.8970728675715,1120.4022,1118.025025,1052.2311,1112.0
2013-09-24 21:00:00,125.60253267973856,79.67443271256167,243.0140232354873,88.3422,157.47500125,150.84445,186.25
2013-11-14 16:00:00,947.0761060834592,9.315010651870825,1373.6419628020108,1130.969,1151.25005,1149.0488,1172.5
2013-10-30 16:00:00,962.6775389643036,13.456357413114876,1344.7130362345167,1080.3127,1098.925,953.0311,1058.5
2013-10-01 18:00:00,762.0270864756159,40.09210314387045,1041.3267072084618,869.4651,841.25001,845.76,870.0
2013-09-04 14:00:00,605.9734791352439,43.22080755269081,977.2438378718248,768.8919000000001,769.05002,779.00446,775.75
2013-09-23 15:00:00,476.9984917043741,28.407860668307084,1191.8581775701514,533.9621999999999,523.225005,751.9644,968.5
2013-01-05 11:00:00,343.81015452538634,67.10646373477407,546.8636326946825,282.7016,341.975,326.93332,261.5
2013-11-13 11:00:00,389.130059074912,64.36846267408013,601.9092885870127,433.0267,433.10001,441.63556,387.625
2013-12-04 16:00:00,1024.8083207642032,5.221933696407116,1395.333281111026,1145.416,1144.675025,1101.6178,1126.5
2013-10-31 20:00:00,430.9224170437406,62.32268701305821,642.5518056172941,253.337,459.475005,464.42667,499.0
2013-10-29 10:00:00,133.60906862745097,79.28220581185667,257.0112253662611,24.645,154.1,157.40445,110.96875
2013-08-26 20:00:00,316.5943941679236,69.67540364383767,463.7215987168505,321.3088,338.725,331.89334,333.375
2013-01-20 16:00:00,667.6103752759382,5.670034634584537,1396.411678225047,689.4391,692.025,391.71555,939.5
2013-09-22 19:00:00,599.798893916541,53.66839713629331,802.3419864178538,560.9087,593.125,453.2622,650.5
2013-08-20 20:00:00,282.97589869281046,70.46172818551804,445.2784452126812,310.9503,324.77501,308.83554,290.0
2013-12-14 17:00:00,880.4911387631976,16.517741083515116,1346.0627583034404,1070.9634,1044.000035,991.39557,922.5
2013-01-02 21:00:00,136.34988962472406,68.003920881652,526.5651054947709,30.5047,47.8750005,265.10223,254.3125
2013-12-07 12:00:00,583.1919306184012,51.094373402065685,880.5956421198562,471.2989,587.100025,666.72,523.5
2013-11-28 10:00:00,189.1009929612871,77.06607473071368,313.10275712641305,25.5709,149.700005,58.808887,112.59375
2013-08-28 12:00:00,334.0482026143791,67.50093265905868,511.37883723104494,382.6101,352.40001,380.32,400.125
2013-01-19 20:00:00,171.11589403973508,54.12828165662627,822.4311095507207,46.9336,254.225,214.25778,299.625
2013-10-11 18:00:00,432.1015585721468,38.42279399089818,1072.446805519461,494.7121,593.025,593.10223,642.5
2013-10-20 15:00:00,918.4263448969332,18.25694693128838,1306.365357209778,1126.5002,1103.55,1033.4578,1091.5
2013-11-25 12:00:00,585.100867269985,50.67489421776589,885.6623658085756,698.7091,682.30002,688.69336,639.0
2013-10-02 16:00:00,846.5466314731021,23.010092445529096,1253.6028797143435,1078.2989,1044.125,1045.4222,1041.5
2013-08-08 12:00:00,281.3474107591755,71.96423365596442,410.2725966498751,308.3124,283.675005,291.82224,324.75
2013-12-23 13:00:00,747.6747109100052,39.08706722656608,1090.92379653665,623.2544,733.55001,771.36,728.25
2013-11-20 21:00:00,25.880624685771743,73.03242582685776,407.1570204806938,22.6149,84.975,56.97778,125.59375
2013-10-27 16:00:00,995.6243715434892,14.382037766411171,1337.3444461893896,1072.2754,1063.67501,787.4133,956.0
2013-10-21 12:00:00,551.7848164906989,53.68953744356418,815.0145304683183,461.9451,579.9333466666667,108.94222,578.75
2013-11-10 15:00:00,1016.1984665661136,12.543888389384492,1356.516197419789,1140.0838,1029.500035,1116.6222,1053.5
2013-12-24 16:00:00,1004.755059074912,2.9555723868069057,1403.7176339684147,1093.7735,1148.32505,815.36,1111.5
2013-11-09 12:00:00,517.6085658622424,51.20223990618953,870.3661801271529,661.1816,675.4000100000001,670.54224,628.0
2013-09-08 12:00:00,326.0660193564605,64.5566861113819,577.3451116351586,340.5827,406.025005,419.32443,358.0
2013-02-02 16:00:00,861.0518763796908,8.992923390168412,1381.66377445105,931.615,1103.150075,1110.0089,984.25
2013-01-29 15:00:00,945.8057395143488,17.187052544072834,1337.8957631794462,941.4162,920.65001,683.66223,795.0
