datetime,ghi,argp,SZA,TOA,cams,lsasaf
2009-01-07 13:30:00,804.6666666666666,858.0312228516287,38.77921526194974,1095.7469934616563,828.6412,842.3
2009-11-29 14:00:00,898.3333333333334,982.8289363387792,28.37275649271659,1231.1816048148175,911.2612,965.7
2009-10-06 19:45:00,24.666666666666668,544.3428627509053,56.99800665288527,743.5012336804846,32.7064,115.0
2009-02-22 14:30:00,176.0,941.5116815648008,31.412148329678963,1184.9862121636888,277.4184,369.0
2009-11-09 18:30:00,836.6666666666666,881.4102074403758,36.30120097237035,1119.488926448066,783.9788,897.60004
2009-02-16 16:15:00,1056.3333333333333,1101.5001681779702,12.525173383793325,1358.8693498651762,1089.2448,1087.0
2009-01-27 17:45:00,1007.3333333333334,1067.276516034145,19.229060568973768,1322.977712247292,935.4348,1047.4
2009-04-16 14:00:00,364.6666666666667,695.2056143937948,47.58057241167752,910.45617907614,409.0404,467.9
2009-05-11 13:15:00,486.6666666666667,475.89937459809386,60.16551175627086,662.9685906108544,516.4644,496.30002
2009-09-04 13:45:00,104.66666666666669,677.4390797101518,48.42757564593538,889.8699487964872,189.7052,301.80002
2009-02-04 13:15:00,656.3333333333334,751.3438451456627,45.630509692598,977.6007326121106,614.3172,687.7
2009-09-16 18:45:00,96.33333333333331,706.2921149999912,46.87101361733863,922.7255775836264,151.3516,206.90001
2009-05-19 20:00:00,140.0,272.2563180335148,71.3127280066097,425.5271239326783,22.566,161.6
2009-09-28 20:00:00,69.0,467.2352097132788,61.15991442450042,655.4758045955189,34.5812,83.3
2009-05-29 13:45:00,170.0,505.53062398774455,58.28232646392507,695.730360126463,146.6256,222.6
2009-11-29 12:15:00,508.6666666666667,644.428183625548,52.12432755747773,859.0815660204762,555.7956,637.3
2009-09-18 18:00:00,802.0,832.9101829245305,38.17717509911858,1062.1994447695256,859.3788,862.4
2009-04-23 15:30:00,797.0,825.6513059964931,38.415217576727095,1053.5122270301576,835.3,830.3
2009-06-22 15:15:00,331.6666666666667,634.4638634308045,50.37960008871441,839.6485550983234,363.9224,318.2
2009-11-09 13:45:00,937.0,934.1445822733342,32.076371784079,1177.0321076046855,935.1528,931.60004
2009-01-30 20:45:00,108.0,503.636766575257,59.96940907609007,700.6751944616979,464.476,528.10004
2009-06-01 17:30:00,637.6666666666666,636.5405361254453,50.41398354892219,842.5128405788956,674.8472,676.10004
2009-04-06 18:00:00,775.0,814.8120274346479,39.78489503761629,1043.0445741278477,747.896,610.60004
2009-02-22 19:30:00,66.66666666666667,749.8076967682068,45.4017759336367,974.8959882494114,54.2448,277.1
2009-05-29 20:15:00,16.666666666666668,202.41234231223143,75.11325557208998,339.9808938492346,19.6524,77.700005
2009-11-04 14:15:00,882.6666666666666,998.31205527531,25.930447864351976,1246.440371424907,799.742,819.60004
2009-11-08 21:30:00,74.33333333333333,176.26499394661883,77.0453870315537,311.26861411754294,15.684,90.4
2009-12-01 13:30:00,853.3333333333334,901.8627393653956,35.26941264629346,1143.0699617121788,903.5296,904.3
2009-11-18 17:30:00,891.3333333333334,1042.57826019742,21.695157779946843,1295.4034459727277,806.1516,850.5
2009-03-29 11:30:00,231.0,203.4665488460145,75.38862044333462,343.9615000995702,177.7256,208.6
2009-03-21 17:30:00,902.6666666666666,948.4343803448812,29.64689150362974,1190.3440724253455,942.9248,943.4
2009-05-20 17:30:00,643.3333333333334,668.3685205379949,48.57263936010977,878.4198886894426,675.67,684.4
2009-03-12 12:45:00,549.3333333333334,552.4670456406376,56.79501537032952,753.7338876646486,573.234,558.10004
2009-07-07 20:30:00,147.66666666666666,164.34731173853592,77.20233428962571,291.56936723140416,199.184,210.3
2009-08-23 17:15:00,758.0,809.9100177338065,39.074571653182765,1035.0086963988952,850.2752,845.10004
2009-04-28 11:45:00,100.33333333333331,196.75404768685897,75.57377569418033,334.0979717924877,97.45,165.2
2009-02-04 22:00:00,107.66666666666669,177.11661012723232,77.06455408716175,312.94773044233494,19.218,163.1
2009-12-31 17:30:00,184.3333333333333,1087.696039234824,16.838039021979935,1345.6378494954213,461.6852,752.60004
2009-01-03 21:30:00,52.0,307.06981589093,70.33873364465785,473.01154141636414,26.5996,0.0
2009-12-13 22:00:00,28.0,145.83796257142896,78.79329861699792,272.8222165092264,64.95,169.7
2009-11-18 16:15:00,827.6666666666666,1125.1203678311065,6.703246588821156,1384.6300222084535,1009.03,1113.5
2009-05-01 17:45:00,251.3333333333333,718.4839848546369,45.70605600642438,935.0707250914234,324.0172,291.80002
2009-10-09 15:45:00,500.0,1041.9307750698067,19.174768439074924,1291.497541046035,647.954,711.9
2009-12-20 20:15:00,176.33333333333334,594.298581667646,55.11857892236178,803.5542822780089,64.8032,355.4
2009-11-27 19:30:00,432.0,717.2126373437314,47.7700196572713,939.9012031822872,558.1208,725.3
2009-05-28 14:15:00,250.0,578.6401949843226,54.00212313948141,778.0571761544118,204.24,265.9
2009-08-24 19:45:00,412.3333333333333,438.96015771505904,62.25658909118295,620.9125880919619,480.5896,485.2
2009-10-13 17:00:00,845.6666666666666,1018.870455898774,22.41169753938523,1266.8921185951392,901.5308,973.9
2009-12-15 18:15:00,524.0,982.6413529639848,28.7129195306323,1231.5542635296513,420.77,584.4
2009-09-16 17:45:00,578.0,858.093097905286,36.17054667815278,1089.5787388269234,515.8928,464.30002
2009-06-19 16:15:00,676.3333333333334,669.6061673323385,48.15306597418934,878.7091062098383,719.9952,701.8
2009-06-07 17:30:00,464.0,626.175239601879,50.99744132387758,830.7628946517264,499.3732,398.0
