datetime,ghi,SZA,TOA,cams,lsasaf
2012-12-12 10:15:00,138.7373068432671,79.10527620997827,265.27703398945346,74.33,144.90001
2012-12-12 10:30:00,195.682119205298,75.93017143781368,341.2077427094021,134.6044,203.0
2012-12-12 10:45:00,252.5121412803532,72.72886888007656,416.7037529327076,193.5744,262.9
2012-12-12 11:00:00,312.06181015452535,69.50392313655546,491.4417791532358,278.0932,323.9
2012-12-12 11:15:00,372.6225165562914,66.25763946103487,565.1017816687192,407.5744,385.5
2012-12-12 11:30:00,433.1258278145695,62.992107075393534,637.3683370398976,473.2216,446.9
2012-12-12 11:45:00,492.1192052980133,59.70922899780897,707.9319887821083,534.9684,507.6
2012-12-12 12:00:00,548.7019867549668,56.410749146683614,776.4905725054617,595.1828,569.4
2012-12-12 12:15:00,603.4878587196469,53.09827754021718,842.7505098291498,653.506,627.7
2012-12-12 12:30:00,656.7770419426049,49.773314544367835,906.4280655291416,709.7992,684.10004
2012-12-12 12:45:00,709.6247240618102,46.43727538311397,967.2505625359737,763.7708,738.4
2012-12-12 13:00:00,758.9845474613686,43.09151661217201,1024.957549579823,815.1416,790.3
2012-12-12 13:15:00,806.1368653421633,39.73736715819177,1079.3019164828302,863.6464,839.4
2012-12-12 13:30:00,847.9470198675497,36.37616821793506,1130.0509523228172,909.0368,885.5
2012-12-12 13:45:00,889.4481236203089,33.00932959770187,1176.9873419371838,951.0848,928.60004
2012-12-12 14:00:00,923.532008830022,29.63841675336342,1219.9100964997956,989.584,968.3
2012-12-12 14:15:00,954.1280353200884,26.265297193892078,1258.6354141859943,1024.3516,1003.8
2012-12-12 14:30:00,979.7792494481236,22.892408305242647,1292.9974672402286,1045.8568,1035.5
2012-12-12 14:45:00,1003.841059602649,19.523293377417414,1322.849112075962,1054.2,1063.4
2012-12-12 15:00:00,1024.76821192053,16.163793423846887,1348.0625193671,1084.7284,1083.7001
2012-12-12 15:15:00,1039.690949227373,12.825075349129792,1368.5297214327893,1104.7624,1102.7001
2012-12-12 15:30:00,1046.8432671081675,9.532861433632416,1384.1630745716025,1124.8816,1117.3
2012-12-12 15:45:00,1052.3620309050773,6.364119557360718,1394.895634365323,1144.5276,1127.5
2012-12-12 16:00:00,1057.8807947019866,3.6605523841972376,1400.6814423452217,1149.5756,1133.2001
2012-12-12 16:15:00,1058.719646799117,3.096500454497731,1401.4957227932753,1149.6964,1134.7001
2012-12-12 16:30:00,1057.6600441501105,5.391737768721016,1397.334988835595,1145.306,1131.8
2012-12-12 16:45:00,1048.2560706401766,8.475426480636324,1388.2170573737542,1136.4316,1124.4
2012-12-12 17:00:00,1037.748344370861,11.740643738600985,1374.1809727900836,1123.1216,1112.6
2012-12-12 17:15:00,1025.8278145695365,15.06821658843414,1355.2868397536288,1105.446,1095.7001
2012-12-12 17:30:00,1005.60706401766,18.42256177488361,1331.6155658427324,1083.4948,1074.7001
2012-12-12 17:45:00,977.7041942604856,21.78934233514399,1303.2685150863606,1057.3744,1049.5
2012-12-12 18:00:00,949.8454746136864,25.161464241588227,1270.3670739077709,1027.6588,1012.0
2012-12-12 18:15:00,924.6799116997792,28.534815749743256,1233.0521313292113,994.4708,978.8
2012-12-12 18:30:00,889.0949227373069,31.906676867274737,1191.4834756634968,957.5096,941.9
2012-12-12 18:45:00,863.2671081677704,35.27503189377958,1145.8391102759247,916.9512,901.8
2012-12-12 19:00:00,797.2185430463576,38.63823681907965,1096.3144913465346,872.9936,858.3
2012-12-12 19:15:00,718.3222958057395,41.9948425924925,1043.1216908967403,825.8548,813.0
2012-12-12 19:30:00,429.841059602649,45.343492882348905,986.4884886643749,771.3564,764.5
2012-12-12 19:45:00,625.4657836644591,48.68285974138075,926.6573967158849,690.8948,713.3
2012-12-12 20:00:00,600.2030905077263,52.01159939302241,863.88462097243,576.0728,659.60004
2012-12-12 20:15:00,382.1412803532009,55.328318882258905,798.4389640967955,481.6096,589.7
2012-12-12 20:30:00,409.6247240618101,58.631548455604474,730.6006744391232,472.6248,544.9
2012-12-12 20:45:00,330.5739514348786,61.91971662857754,660.6602459704503,488.0564,485.5
2012-12-12 21:00:00,409.1876379690949,65.19112600338548,588.9171743429303,429.0636,426.1
2012-12-12 21:15:00,329.0596026490066,68.44392849503147,515.6786744034684,366.6176,365.0
2012-12-12 21:30:00,208.3664459161148,71.67609894533838,441.25836465258493,304.0852,304.2
2012-12-12 21:45:00,103.037527593819,74.88540627173876,365.97492428184677,242.096,244.0
2012-12-12 22:00:00,22.82560706401766,78.06938137607295,290.15072854064516,181.4356,185.1
2012-12-13 10:15:00,66.04856512141279,79.16786206309985,263.8166252022625,53.0264,150.0
2012-12-13 10:30:00,94.96688741721852,75.99498142887113,339.7258053956592,91.98,207.90001
2012-12-13 10:45:00,265.38189845474614,72.79575969845045,415.2099788311892,157.6,267.6
2012-12-13 11:00:00,318.26490066225165,69.57276150705559,489.9459106896598,229.7124,309.6
2012-12-13 11:15:00,373.205298013245,66.32830065934812,563.6135702371846,279.4444,357.2
2012-12-13 11:30:00,428.5165562913907,63.06447345767478,635.8975012459161,391.9944,449.9
2012-12-13 11:45:00,491.271523178808,59.783188503380885,706.4881728260439,534.268,509.7
2012-12-13 12:00:00,545.0066225165563,56.48619371781309,775.0833048845845,553.5112,527.8
2012-12-13 12:15:00,605.2980132450332,53.175101381089235,841.3891625351479,495.0228,553.10004
2012-12-13 12:30:00,720.0441501103753,49.85141210782086,905.1218139158127,534.0168,588.10004
2012-12-13 12:45:00,784.2825607064018,46.51653892019402,966.008346028953,596.4804,660.2
