datetime,ghi,SZA,TOA,cams,lsasaf
2017-10-31 11:15:00,368.82,66.21697206587345,557.8673435131261,326.1964,371.80002
2017-10-31 11:30:00,432.9193333333333,62.79170229877414,632.5022252428303,423.1556,435.2
2017-10-31 11:45:00,509.0373333333334,59.36069291542676,704.9965045623047,420.3092,497.4
2017-10-31 12:00:00,552.3766666666667,55.925870389668155,775.0397498379788,461.2432,562.60004
2017-10-31 12:15:00,619.3886666666666,52.48929378849659,842.3320251403478,517.5372,621.7
2017-10-31 12:30:00,666.0533333333333,49.05324925512523,906.5851746156687,578.7328,678.7
2017-10-31 12:45:00,733.8053333333334,45.620378709883475,967.5240564135652,673.2988,733.0
2017-10-31 13:00:00,593.776,42.193862977074474,1024.8877208866713,763.792,784.60004
2017-10-31 13:15:00,836.16,38.77769286728284,1078.4305280170836,761.8896,832.7
2017-10-31 13:30:00,873.806,35.37708583680058,1127.923199284628,829.5364,877.60004
2017-10-31 13:45:00,913.9346666666668,31.999150915344185,1173.1537994726837,916.9504,918.8
2017-10-31 14:00:00,949.0906666666668,28.653992025232405,1213.9286442073176,955.2988,956.2
2017-10-31 14:15:00,981.1306666666668,25.356615780549134,1250.0731293435078,987.444,989.4
2017-10-31 14:30:00,1012.3393333333332,22.130375650094717,1281.4324786468992,1015.4036,1018.3
2017-10-31 14:45:00,1031.4353333333331,19.01345663588737,1307.8724065693991,1039.0404,1043.1
2017-10-31 15:00:00,1052.369333333333,16.07147361190564,1329.2796932805124,1058.1164,1065.2001
2017-10-31 15:15:00,1069.917333333333,13.42175041886868,1345.5626694920352,1072.5364,1080.8
2017-10-31 15:30:00,1078.724,11.273885112525367,1356.651609000022,1082.3476,1091.8
2017-10-31 15:45:00,1083.3826666666666,9.959291371329822,1362.4990272630948,1087.4992,1098.0
2017-10-31 16:00:00,1084.0686666666668,9.819210256327086,1363.0798847385388,1087.9628,1099.6
2017-10-31 16:15:00,1081.794666666667,10.899079801483945,1358.3916941054697,1083.7356,1096.5
2017-10-31 16:30:00,1069.3506666666667,12.89560462173404,1348.454530915922,1074.8396,1088.6
2017-10-31 16:45:00,1052.272,15.456892951256384,1333.3109476282546,1061.32,1076.1
2017-10-31 17:00:00,1033.9926666666663,18.347035583528168,1313.0257913909904,1043.2448,1059.0
2017-10-31 17:15:00,1015.8246666666668,21.432362915979922,1287.6859263573715,1020.7028,1037.3
2017-10-31 17:30:00,992.8333333333334,24.63849610142207,1257.3998617197183,993.8048,1011.2
2017-10-31 17:45:00,958.362,27.922590464346126,1222.2972870564106,962.6812,981.0
2017-10-31 18:00:00,924.0706666666666,31.258732165465947,1182.528516981202,927.4008,941.7
2017-10-31 18:15:00,883.1,34.63044634965384,1138.2638474729674,888.1424,903.2
2017-10-31 18:30:00,835.8606666666667,38.026751298379715,1089.6928266421767,845.1876,861.0
2017-10-31 18:45:00,789.9226666666667,41.439993491774175,1037.0234430567855,798.7544,815.2
2017-10-31 19:00:00,740.5233333333333,44.86460727589402,980.4812351032583,749.0812,766.10004
2017-10-31 19:15:00,686.4566666666667,48.296373972161916,920.308325196569,682.304,713.9
2017-10-31 19:30:00,627.9886666666666,51.731961514711884,856.7623829748518,592.2928,659.10004
2017-10-31 19:45:00,565.8639999999999,55.16862738681615,790.1155219184501,544.8448,601.9
2017-10-31 20:00:00,521.9746666666666,58.604019617758546,720.6531341182201,445.44,542.5
2017-10-31 20:15:00,450.032,62.03603817612931,648.6726681827821,220.3592,402.30002
2017-10-31 20:30:00,382.5446666666666,65.46273423359379,574.4823555179134,136.7052,210.2
2017-10-31 20:45:00,324.3353333333333,68.88223334532944,498.39989043234954,28.0448,101.4
2017-10-31 21:00:00,280.7646666666667,72.2926735769781,420.7510697219792,20.2296,0.0
2017-10-31 21:15:00,210.77133333333333,75.69215256363864,341.86839755794784,16.5568,0.0
2017-10-31 21:30:00,155.97333333333333,79.07867925712277,262.0896616527504,12.5472,0.0
2017-11-01 10:30:00,102.25642857142856,76.31785531530114,327.36781852479976,21.5044,119.3
2017-11-01 10:45:00,171.55333333333334,72.92397230947614,406.40187729339635,25.5372,170.90001
