site,model,hidden_layers,hidden_nodes,dropout,lr,RMBE_val,RRMSD_val,RMBE_test,RRMSD_test
SA,Modelo02_CAMS,3,16,0.0,0.1,-55.89060564297933,-2078.363174141024,2.090774882881854,32.72821498759678
SA,Modelo02_LSASAF,1,16,0.0,0.1,-25.61327906056364,-238.83844549325408,1.5346677578323447,35.07863459109568
SA,Modelo03_CAMS,2,4,0.0,0.1,17.640221705063095,-78.6482703402734,4.114196505049656,33.03644590386105
SA,Modelo03_LSASAF,2,2,0.0,0.1,-10.30678392104544,-83.29401988751941,-3.519433271249702,35.88357063752113
