site,model,hidden_layers,hidden_nodes,dropout,lr,RMBE_val,RRMSD_val,RMBE_test,RRMSD_test
SCA,Modelo02_CAMS,2,2,0.0,0.001,-242.87110210250896,-1100.345370674043,6.766328291782249,28.70411226253024
SCA,Modelo02_LSASAF,3,2,0.0,0.1,-40.34961225725142,-251.77353715295774,2.8402169520167204,28.096963911259436
SCA,Modelo03_CAMS,2,8,0.0,0.1,11.913187519440525,-93.76222956815276,9.341221809876743,30.936841333969127
SCA,Modelo03_LSASAF,3,16,0.0,0.1,22.795160743442477,-99.62348243172589,5.560689242408264,29.564896826791358
