site,model,hidden_layers,hidden_nodes,dropout,lr,RMBE_val,RRMSD_val,RMBE_test,RRMSD_test
YU,Modelo02_CAMS,3,4,0.0,0.01,46.491405899051216,-3468.9525885660814,-1.9350971580616616,27.0247558054243
YU,Modelo02_LSASAF,3,2,0.0,0.001,2.826691538711407,-211.66042318274046,-6.015482832613797,24.968357153137138
YU,Modelo03_CAMS,3,2,0.0,0.001,-91.0575321079179,-167.70609556885688,24.400193827555707,51.15247194378857
YU,Modelo03_LSASAF,3,2,0.0,0.001,-88.76400862550805,-167.98088234935548,23.032866037240087,51.313828733627254
