site,model,hidden_layers,hidden_nodes,dropout,lr,RMBE_val,RRMSD_val,RMBE_test,RRMSD_test
ERO,Modelo02_CAMS,1,16,0.0,0.01,-0.15105189329473523,103.91713136403638,-0.17183796423688708,22.0759701190419
ERO,Modelo02_LSASAF,3,8,0.0,0.01,1.4763998657768396,253.29704776102324,1.2635200427029945,21.476137844421892
ERO,Modelo03_CAMS,2,2,0.0,0.001,-78.63313651415632,-248.17987264684152,7.519964439476613,24.96113272920176
ERO,Modelo03_LSASAF,2,2,0.0,0.001,-76.62958879489739,-248.53457584319355,7.610600324357309,24.97100924806303
